,context,id,identifier,image,note,reading,sign,tablet
5782,ina pa-ni,6607,c2508541-222f-4360-b795-f2721db57312__ybc-9540,glyph_img/c2508541-222f-4360-b795-f2721db57312__ybc-9540.png,,pa,14,377
5783,GIŠ.HAB,6606,70c86c81-f5b7-4558-abf0-dd286d0f4dbe__ybc-9540,glyph_img/70c86c81-f5b7-4558-abf0-dd286d0f4dbe__ybc-9540.png,,HAB,7,377
5784,GIŠ.HAB,6605,4eee9205-fd76-4ad7-9e08-d5b7f9c0933e__ybc-9540,glyph_img/4eee9205-fd76-4ad7-9e08-d5b7f9c0933e__ybc-9540.png,,GIŠ,15,377
5785,ITU.GU4,6604,2e507635-6551-4f5d-a844-f11d1791851c__bm-16687,glyph_img/2e507635-6551-4f5d-a844-f11d1791851c__bm-16687.png,,GU4,54,374
5786,DINGIR.AMAR.UTU,6603,af9115ed-98f0-41d8-8e42-a6a7a73c8812__ybc-9537,glyph_img/af9115ed-98f0-41d8-8e42-a6a7a73c8812__ybc-9537.png,part of PN,DINGIR,179,375
5787,I.BÀD.MAH-d.AMAR.UTU,6602,e2d1b8a2-7d25-41cd-91dc-a8a1dade81fb__ybc-9537,glyph_img/e2d1b8a2-7d25-41cd-91dc-a8a1dade81fb__ybc-9537.png,PN,MAH,217,375
5788,I.BÀD.MAH-d.AMAR.UTU,6601,51a393b7-cc74-446e-a287-b531f1c3c7ce__ybc-9537,glyph_img/51a393b7-cc74-446e-a287-b531f1c3c7ce__ybc-9537.png,PN,BÀD,204,375
5789,pag-ra-nu,6600,1c4f57be-e87b-412a-a29b-d66065e4371e__ybc-9537,glyph_img/1c4f57be-e87b-412a-a29b-d66065e4371e__ybc-9537.png,,pag,170,375
5790,pag-ra-nu,6599,8eeb00e1-f195-4bcb-b3d4-5b6ae5a3b49f__ybc-9537,glyph_img/8eeb00e1-f195-4bcb-b3d4-5b6ae5a3b49f__ybc-9537.png,,ra,127,375
5791,UDU.SÁ.DUG,6598,4daf1c78-a9ad-4de9-9628-a79cc42b9d51__ybc-9537,glyph_img/4daf1c78-a9ad-4de9-9628-a79cc42b9d51__ybc-9537.png,,UDU,114,375
5792,UDU.SÁ.DUG4,6597,02d299a2-1e55-426b-b9e6-a449355ecff7__ybc-9537,glyph_img/02d299a2-1e55-426b-b9e6-a449355ecff7__ybc-9537.png,,DUG4,178,375
5793,IGI-ir,6596,fb8fc474-c0da-4ddd-8811-258ae845682d__ybc-9537,glyph_img/fb8fc474-c0da-4ddd-8811-258ae845682d__ybc-9537.png,,IGI,190,375
5794,IGI-ir,6595,fcecf59f-37c7-48b6-95cd-476dc9fe4833__ybc-9537,glyph_img/fcecf59f-37c7-48b6-95cd-476dc9fe4833__ybc-9537.png,,ir,66,375
5795,I.dan-né-e-a,6594,4e1e14b9-0910-4ad2-bddb-29fa28a5def9__bm-49603,glyph_img/4e1e14b9-0910-4ad2-bddb-29fa28a5def9__bm-49603.png,PN,né,210,373
5796,I.dan-ni-e-a,6593,3b236420-ba30-4951-b454-a27bfdb69f60__bm-49603,glyph_img/3b236420-ba30-4951-b454-a27bfdb69f60__bm-49603.png,PN,dan,126,373
5797,LUGAL,6592,ebdee975-7872-4c9d-8870-ae476e86b482__bm-49603,glyph_img/ebdee975-7872-4c9d-8870-ae476e86b482__bm-49603.png,,LUGAL,72,373
5798,I.d.AG-NÍG.DU-ÙRU,6591,9c5eb006-a6c8-4f0e-bac2-f1aff08ecb10__bm-49603,glyph_img/9c5eb006-a6c8-4f0e-bac2-f1aff08ecb10__bm-49603.png,RN,DU,163,373
5799,I.d.AG-NÍG.DU-ÙRU,6590,cc527c17-a4f1-4762-bc3a-56a191089fdf__bm-49603,glyph_img/cc527c17-a4f1-4762-bc3a-56a191089fdf__bm-49603.png,RN,ÙRU,129,373
5800,MU.1.KAM,6589,ecedb7de-3ad1-4902-a0cb-fd40f1a748db__bm-49603,glyph_img/ecedb7de-3ad1-4902-a0cb-fd40f1a748db__bm-49603.png,,MU,174,373
5801,UD.x.KAM,6588,4bd48e2a-d80a-46c8-9789-350d64966bb8__bm-49603,glyph_img/4bd48e2a-d80a-46c8-9789-350d64966bb8__bm-49603.png,,KAM,97,373
5802,ITI.ZÍZ,6587,5025b6e5-2c4a-44dc-9fdf-5f9b176f18c6__bm-49603,glyph_img/5025b6e5-2c4a-44dc-9fdf-5f9b176f18c6__bm-49603.png,MN,ZÍZ,132,373
5803,I.d.EN-e-ṭè-ru,6586,e9c79b2a-cfb3-46db-85ef-4d513c59c923__bm-49603,glyph_img/e9c79b2a-cfb3-46db-85ef-4d513c59c923__bm-49603.png,PN,ṭè,160,373
5804,I.d.EN-e-ṭir4,6585,544b57c4-e422-43c6-a0c5-a0998f11e1a9__bm-49603,glyph_img/544b57c4-e422-43c6-a0c5-a0998f11e1a9__bm-49603.png,PN,e,119,373
5805,lú.UMBISAG,6584,4c74cb72-495e-40fc-b0a9-550e7434ae5c__bm-49603,glyph_img/4c74cb72-495e-40fc-b0a9-550e7434ae5c__bm-49603.png,,UMBISAG,123,373
5806,I.BA-šá,6583,201ca1bb-481c-4286-a45f-e1b0d1cf4c92__bm-49603,glyph_img/201ca1bb-481c-4286-a45f-e1b0d1cf4c92__bm-49603.png,PN,šá,11,373
5807,I.BA-šá,6582,c80f26c6-99b1-4f92-9b6d-8c6c575b0b6b__bm-49603,glyph_img/c80f26c6-99b1-4f92-9b6d-8c6c575b0b6b__bm-49603.png,PN,BA,182,373
5808,I.ri-mut,6581,c851d036-1371-4ce1-82cd-06a21d01a1be__bm-49603,glyph_img/c851d036-1371-4ce1-82cd-06a21d01a1be__bm-49603.png,PN,mut,205,373
5809,I.ri-mut,6580,a291c7fb-aec1-408a-b69f-8e7fb8e808eb__bm-49603,glyph_img/a291c7fb-aec1-408a-b69f-8e7fb8e808eb__bm-49603.png,PN,ri,167,373
5810,I.d.EN-DÙ,6579,806f4d2e-b73c-4528-9761-d27aa71d5c76__bm-49603,glyph_img/806f4d2e-b73c-4528-9761-d27aa71d5c76__bm-49603.png,PN,DÙ,74,373
