,,,
sign_name,abz_number,meszl_number,image
KAM,406,,sign_406.bmp
GI,85,,sign_085.bmp
ZAG,332,,sign_332.bmp
IŠ,212,,sign_212.bmp
KUR,366,,sign_366.bmp
MAR,307,,sign_307.bmp
ŠÀ,384,,sign_384.bmp
LA,55,,sign_55.bmp
US,372,,sign_372.bmp
DIN,465,,sign_465.bmp
SIG,592,,sign_592.bmp
HA,589,,sign_589.bmp
ZA,586,,sign_586.bmp
A,579,,sign_579.bmp
UR,575,,sign_575.bmp
TUG,574,,sign_574.bmp
LUM,565,,sign_565.bmp
GU,559,,sign_559.bmp
NIN,556,,sign_556.bmp
ŠÚ,545,,sign_545.bmp
LU,537,,sign_537.bmp
KU,536,,sign_KU.bmp
MEŠ,533,,sign_533.bmp
KÙ,468,,sign_468.bmp
KI,461,,sign_461.bmp
DI,457,,sign_457.bmp
Ù,455,,sign_455.bmp
ŠI,449,,sign_449.bmp
UL,441,,sign_441.bmp
MI,427,,sign_427.bmp
MUH,412,,sign_412.bmp
U,411,,sign_411.bmp
HAR,401,,sign_401.bmp
KÁ,133,,sign_133.bmp
BA,5,,sign_005.bmp
ZU,6,,sign_006.bmp
SU,7,,sign_007.bmp
TAR,12,,sign_012.bmp
AN,13,,sign_013.bmp
KA,15,,sign_015.bmp
ITU,52,,sign_052.bmp
TU,58,,sign_058.bmp
LI,59,,sign_059.bmp
MU,61,,sign_061.bmp
RU,68,,sign_068.bmp
NA,70,,sign_070.bmp
TI,73,,sign_073.bmp
HU,78,,sign_078.bmp
NAM,79,,sign_079.bmp
IG,80,,sign_080.bmp
RI,86,,sign_084.bmp
EN,99,,sign_99.bmp
AG,97,,sign_97.bmp
DIM,94,,sign_094.bmp
SA,104,,sign_104.bmp
TUM,207,,sign_207.bmp
DU,206,,sign_206.bmp
UNUG,195,,sign_195.bmp
QU,191,,sign_191.bmp
NE,172,,sign_172.bmp
AM,170,,sign_170.bmp
IN,148,,sign_148.bmp
AD,145,,sign_145.bmp
GAN,143,,sign_143.bmp
I,142,,sign_142.bmp
TA,139,,sign_139.bmp
UM,134,,sign_134.bmp
AS,131,,sign_131.bmp
UG,130,,sign_130.bmp
AB,128,,sign_128.bmp
SAG,115,,sign_115.bmp
SI,112,,sign_112.bmp
GUR,111,,sign_111.bmp
SAR,331 e,,sign_331e.bmp
BIR,400,,sign_400.bmp
IM,399,,sign_399.bmp
AH,398,,sign_398.bmp
A',397,,sign_397.bmp
HE,396,,sign_396.bmp
PI,383,,sign_383.bmp
UD,381,,sign_381.bmp
BU,371,,sign_371.bmp
BIT,324,,sign_324.bmp
ŠU,354,,sign_354.bmp
GIR,346,,sign_346.bmp
MA,342,,sign_342.bmp
ÁŠ,339,,sign_339.bmp
DA,335,,sign_335.bmp
ID,334,,sign_334.bmp
ŠEŠ,331,,sign_331.bmp
LÚ,330,,sign_330.bmp
RA,328,,sign_328.bmp
KAL,322,,sign_322.bmp
GA,319,,sign_319.bmp
Ú,318,,sign_318.bmp
